Intensity,Symmetry,Class
0.444131,-5.496812,5
0.123043,-0.707875,1
0.113859,-0.931375,1
0.115371,-0.386,1
0.102281,-0.378812,1
0.142043,-1.819438,1
0.148965,-0.974938,1
0.128896,-0.521625,1
0.217982,-3.359625,5
0.143813,-0.250937,1
0.18284,-1.016063,1
0.148664,-0.310312,1
0.136396,-0.352312,1
0.133275,-0.8525,1
0.304,-4.200938,5
0.170125,-0.823688,1
0.160584,-0.514687,1
0.183385,-1.786812,1
0.188549,-1.38175,1
0.338703,-4.675937,5
0.141893,-0.616062,1
0.364727,-5.27075,5
0.329365,-4.9815,5
0.226828,-0.990062,1
0.145059,-0.586938,1
0.177689,-0.836313,1
0.093221,-0.562312,1
0.140937,-0.685438,1
0.199988,-4.316562,5
0.132779,-0.637312,1
0.153014,-0.386313,1
0.139113,-0.42825,1
0.12842,-0.312625,1
0.133703,-0.820688,1
0.190537,-0.814,1
0.22575,-0.966938,1
0.103549,-0.870437,1
0.131648,-0.674687,1
0.145701,-0.672312,1
0.174373,-1.116937,1
0.144525,-0.301,1
0.258951,-4.797937,5
0.243789,-4.782312,5
0.292115,-5.561312,5
0.133102,-0.899062,1
0.184473,-3.474625,5
0.103537,-0.32425,1
0.117916,-0.928125,1
0.157074,-0.379937,1
0.206916,-3.74675,5
0.179523,-0.905875,1
0.152062,-0.365125,1
0.140623,-0.449437,1
0.106471,-1.045813,1
0.201912,-3.611687,5
0.153072,-0.692187,1
0.444783,-5.192375,5
0.225816,-4.011438,5
0.146434,-0.440312,1
0.193248,-1.237,1
0.307934,-6.812312,5
0.242268,-5.445188,5
0.180047,-0.73,1
0.339455,-5.154813,5
0.344781,-5.569813,5
0.090535,-0.549875,1
0.183305,-1.017688,1
0.35733,-5.43475,5
0.132568,-0.456062,1
0.133861,-1.238187,1
0.23699,-4.670937,5
0.312418,-5.316625,5
0.20066,-0.89125,1
0.227045,-4.525313,5
0.220244,-0.488312,1
0.139184,-0.236813,1
0.164561,-2.768562,5
0.351555,-4.922688,5
0.145824,-0.899875,1
0.112488,-0.94625,1
0.110793,-1.479125,1
0.220541,-4.627562,5
0.140002,-0.345938,1
0.172002,-1.535562,1
0.176643,-0.585562,1
0.196652,-1.8435,1
0.119816,-0.810562,1
0.200035,-3.959812,5
0.155594,-1.099625,1
0.132482,-0.472,1
0.094105,-1.25525,1
0.102389,-0.543813,1
0.166586,-0.633938,1
0.145309,-0.750563,1
0.130914,-0.335375,1
0.213111,-0.706,1
0.111162,-0.519312,1
0.180998,-0.732563,1
0.272492,-4.408625,5
0.139502,-0.389562,1
0.141584,-1.069562,1
0.100406,-0.363125,1
0.207992,-4.097563,5
0.170879,-0.721875,1
0.154779,-0.430125,1
0.241625,-0.654062,1
0.174576,-0.277875,1
0.188574,-0.419,1
0.230951,-0.789937,1
0.354791,-5.16575,5
0.137613,-0.229937,1
0.273465,-5.319438,5
0.133406,-0.333562,1
0.129434,-0.309188,1
0.134102,-0.348062,1
0.129996,-0.256688,1
0.117668,-0.6435,1
0.199025,-0.705375,1
0.117143,-0.272937,1
0.184904,-3.633188,5
0.109279,-0.1195,1
0.140205,-2.8765,5
0.139879,-0.900375,1
0.146658,-0.723437,1
0.359326,-6.08425,5
0.186857,-0.795125,1
0.152164,-1.026125,1
0.338973,-5.44625,5
0.098416,-0.559813,1
0.183738,-0.717562,1
0.208732,-0.837375,1
0.266914,-3.811187,5
0.146729,-0.458062,1
0.198115,-0.689438,1
0.182832,-1.520625,1
0.116262,-0.359812,1
0.151221,-0.622687,1
0.106758,-0.590187,1
0.135189,-1.040625,1
0.12068,-1.18375,1
0.101287,-0.477812,1
0.144092,-0.530375,1
0.128711,-0.45625,1
0.150547,-0.7015,1
0.327076,-5.3795,5
0.220238,-1.059,1
0.36448,-5.896937,5
0.431908,-4.993188,5
0.197473,-1.388062,1
0.347393,-4.986,5
0.28666,-4.542562,5
0.219387,-3.08825,5
0.121006,-0.664438,1
0.239627,-3.305438,1
0.18342,-0.526563,1
0.068254,-1.364625,1
0.151652,-0.270813,1
0.282215,-5.066125,5
0.333594,-4.608437,5
0.242109,-3.699438,5
0.151734,-0.328188,1
0.179365,-0.338875,1
0.395111,-5.375,5
0.224752,-0.922562,1
0.131055,-0.500812,1
0.230098,-1.691,1
0.302484,-5.774375,5
0.184416,-3.94975,5
0.195924,-3.690937,5
0.265656,-4.661812,5
0.354252,-5.440062,5
0.344512,-5.8075,5
0.350287,-6.351625,5
0.18833,-0.691562,1
0.309934,-5.042375,5
0.52802,-5.481,5
0.097367,-0.393313,1
0.115238,-0.337875,1
0.346748,-4.985938,5
0.31473,-4.497438,5
0.213291,-1.593375,1
0.165332,-3.7995,5
0.247643,-2.31925,1
0.186268,-0.37225,1
0.114131,-0.477125,1
0.135457,-0.464375,1
0.161855,-1.519125,1
0.109268,-0.602625,1
0.142799,-0.327,1
0.152607,-0.613437,1
0.137322,-0.701438,1
0.161176,-0.577,1
0.243959,-0.680875,1
0.155938,-0.876687,1
0.104338,-0.788563,1
0.141295,-0.465687,1
0.374768,-6.088563,5
0.123557,-0.64775,1
0.229295,-4.1615,5
0.22443,-3.56525,5
0.332969,-5.528937,5
0.16251,-0.47425,1
0.082809,-0.74025,1
0.144859,-0.651875,1
0.271146,-4.04875,5
0.084984,-0.573812,1
0.174814,-0.4135,1
0.106289,-0.843063,1
0.108162,-1.349813,1
0.218543,-4.640937,5
0.113715,-1.340188,1
0.196719,-0.690875,1
0.164816,-0.726562,1
0.170627,-1.560375,1
0.110672,-0.37425,1
0.168744,-0.849938,1
0.145176,-1.09425,1
0.214332,-0.585688,1
0.191562,-0.520813,1
0.372762,-6.243188,5
0.166893,-0.592187,1
0.213508,-4.545,5
0.108262,-1.043937,1
0.368645,-5.431687,5
0.130229,-0.74225,1
0.177949,-0.619563,1
0.166859,-0.821187,1
0.117711,-0.544125,1
0.131865,-0.550625,1
0.131568,-0.504875,1
0.098625,-0.66875,1
0.188029,-0.579688,1
0.192771,-0.595187,1
0.221436,-0.440688,1
0.229354,-0.662687,1
0.143795,-0.279,1
0.243252,-0.457562,1
0.121877,-0.573875,1
0.358893,-6.541938,5
0.123078,-0.750125,1
0.144945,-0.487187,1
0.071807,-0.596562,1
0.108689,-0.194812,1
0.163117,-0.6065,1
0.432502,-4.395375,5
0.222777,-1.3945,1
0.119053,-0.72825,1
0.124342,-0.286813,1
0.1366,-1.093125,1
0.166902,-0.465813,1
0.133543,-0.422312,1
0.371871,-5.5975,5
0.319332,-4.76475,5
0.152639,-0.517813,1
0.29941,-4.748375,5
0.227164,-0.737437,1
0.314584,-6.05,5
0.217479,-0.833187,1
0.098914,-0.388625,1
0.178096,-3.231313,5
0.164404,-0.570625,1
0.147572,-0.256312,1
0.163322,-0.216,1
0.353492,-6.191,5
0.118215,-0.815438,1
0.133141,-0.558813,1
0.127994,-0.743125,1
0.136479,-0.844625,1
0.155383,-0.936187,1
0.166566,-0.631188,1
0.148924,-0.883312,1
0.110479,-0.599625,1
0.13818,-0.2635,1
0.11149,-0.265062,1
0.215553,-0.824937,1
0.141971,-0.694562,1
0.10351,-0.150188,1
0.085785,-0.546188,1
0.09493,-0.6895,1
0.100531,-1.186063,1
0.148023,-0.328062,1
0.305424,-4.773875,5
0.1134,-0.356563,1
0.129721,-0.468625,1
0.093217,-0.45825,1
0.131484,-0.556312,1
0.255447,-3.840937,5
0.160484,-0.496375,1
0.146391,-1.829438,1
0.126477,-0.446,1
0.22999,-4.06075,5
0.110141,-0.635375,1
0.241105,-0.6,1
0.250775,-1.134937,1
0.214791,-3.233,5
0.146232,-1.067187,1
0.152723,-0.494,1
0.290904,-5.123375,5
0.091391,-0.391562,1
0.205514,-0.366438,1
0.250613,-4.389437,5
0.20935,-3.377625,5
0.167123,-0.841688,1
0.197352,-0.430437,1
0.168039,-1.353063,1
0.204063,-3.052875,5
0.103586,-0.935813,1
0.17792,-1.055,1
0.121166,-0.295063,1
0.101924,-0.33725,1
0.178789,-0.719437,1
0.105127,-0.376188,1
0.117168,-0.493375,1
0.092326,-0.365625,1
0.149928,-0.436563,1
0.396252,-5.706563,5
0.342916,-5.659125,5
0.154209,-1.619875,1
0.0925,-0.405875,1
0.150758,-0.298187,1
0.147535,-0.62325,1
0.133838,-0.706375,1
0.106143,-0.246188,1
0.131768,-0.318437,1
0.116713,-0.85325,1
0.379186,-4.887062,5
0.184406,-0.624812,1
0.156865,-0.94725,1
0.27835,-3.928688,5
0.163031,-1.100563,1
0.147021,-1.28975,1
0.120664,-0.700812,1
0.095268,-0.504938,1
0.16949,-1.1785,1
0.153586,-0.56225,1
0.148863,-0.40175,1
0.199437,-0.463375,1
0.127641,-0.390375,1
0.48716,-4.86025,5
0.115732,-0.406813,1
0.255656,-1.454438,1
0.137945,-0.477687,1
0.222559,-2.02525,1
0.232457,-1.195625,1
0.162172,-2.327625,1
0.108035,-0.156562,1
0.138838,-0.836187,1
0.33233,-5.593687,5
0.102076,-1.067,1
0.405611,-5.3205,5
0.345494,-5.253312,5
0.152418,-2.661437,5
0.119219,-0.508875,1
0.245305,-4.861,5
0.120549,-0.531687,1
0.268799,-3.432688,5
0.192094,-0.417312,1
0.106643,-1.476687,1
0.19992,-3.564812,5
0.12649,-0.365312,1
0.324818,-6.3535,5
0.181396,-0.618875,1
0.249047,-4.586062,5
0.216775,-1.36575,1
0.103055,-0.240313,1
0.090236,-0.73775,1
0.182324,-0.7585,1
0.165283,-0.774875,1
0.202561,-1.805063,1
0.096822,-0.44275,1
0.099723,-0.31875,1
0.152094,-0.867062,1
0.134559,-0.41975,1
0.26509,-4.06,5
0.090865,-0.732313,1
0.175186,-0.482938,1
0.150184,-0.197813,1
0.13852,-0.494312,1
0.194619,-1.344563,1
0.273234,-4.118625,5
0.116398,-0.897625,1
0.15277,-0.793625,1
0.107816,-0.6705,1
0.096381,-0.32325,1
0.111953,-0.365063,1
0.102797,-0.202313,1
0.147119,-0.755062,1
0.155373,-0.8425,1
0.267162,-0.647437,1
0.241727,-0.628938,1
0.19223,-0.8635,1
0.211213,-0.41525,1
0.205664,-0.525687,1
0.155312,-0.3605,1
0.105852,-0.4585,1
0.25041,-4.263813,5
0.236904,-4.178063,5
0.185324,-1.690875,1
0.147594,-0.602563,1
0.15059,-0.751938,1
0.154955,-0.492875,1
0.106563,-1.722625,1
0.109531,-1.210687,1
0.073541,-0.704625,1
0.12032,-0.275875,1
0.16873,-0.674,1
0.175998,-0.455188,1
0.169746,-0.889563,1
0.196896,-1.542312,1
0.120215,-0.266625,1
0.126193,-0.439937,1
0.138783,-0.2895,1
0.248871,-0.773563,1
0.194363,-0.691125,1
0.221318,-0.972,1
0.146816,-0.763312,1
0.134246,-1.040625,1
0.100863,-0.3555,1
0.134518,-0.776,1
0.148641,-0.896563,1
0.089395,-0.407625,1
0.117488,-0.895188,1
0.271512,-4.351687,5
0.077961,-0.51175,1
0.101391,-0.265875,1
0.155707,-0.706375,1
0.376916,-4.857563,5
0.198971,-1.753812,1
0.12149,-0.639687,1
0.104711,-0.235125,1
0.200615,-1.300312,1
0.217436,-0.860187,1
0.349588,-6.155125,5
0.272551,-4.94375,5
0.205236,-0.773937,1
0.183992,-0.670188,1
0.094521,-0.787,1
0.093223,-0.914125,1
0.235336,-0.856375,1
0.233451,-1.063375,1
0.284162,-1.236813,1
0.186711,-0.538125,1
0.179994,-0.934875,1
0.203246,-0.926125,1
0.191988,-0.579562,1
0.176123,-1.000625,1
0.079641,-0.79925,1
0.131762,-0.646875,1
0.24885,-0.97475,1
0.30758,-4.352375,5
0.203717,-4.164625,5
0.176277,-3.715438,5
0.203748,-4.281688,5
0.347096,-5.655437,5
0.124447,-0.638875,1
0.286885,-4.852125,5
0.118025,-0.525438,1
0.13932,-1.241062,1
0.294436,-4.777625,5
0.177141,-2.368063,1
0.154486,-3.762812,5
0.067635,-1.410875,1
0.19523,-0.877687,1
0.383191,-5.44775,5
0.089236,-0.625188,1
0.22025,-3.030687,1
0.091064,-0.33625,1
0.158891,-0.772312,1
0.112646,-0.236187,1
0.258648,-4.203313,5
0.201475,-0.658687,1
0.201064,-0.5115,1
0.170355,-0.60275,1
0.206246,-0.485687,1
0.156678,-0.576625,1
0.127422,-0.774687,1
0.136779,-1.207812,1
0.155936,-3.006063,5
0.13757,-0.627,1
0.173563,-0.523687,1
0.133863,-0.460313,1
0.182414,-1.725937,1
0.288283,-4.770875,5
0.245988,-4.489875,5
0.130168,-0.438688,1
0.10491,-0.745687,1
0.181805,-3.036437,5
0.21874,-0.899,1
0.200941,-0.590187,1
0.381859,-5.715312,5
0.141004,-0.72,1
0.217621,-0.919625,1
0.141623,-1.396,1
0.30477,-5.265313,5
0.231125,-0.94875,1
0.323449,-5.277938,5
0.137602,-0.675687,1
0.145088,-0.4515,1
0.124037,-0.45925,1
0.237838,-0.981563,1
0.173813,-3.884063,5
0.091367,-0.430437,1
0.134893,-0.252625,1
0.117559,-0.546625,1
0.06017,-0.679188,1
0.1531,-0.517875,1
0.180816,-3.34325,5
0.284627,-4.688625,5
0.368607,-5.206062,5
0.191131,-0.952937,1
0.313787,-4.869,5
0.272062,-5.821875,5
0.374117,-4.825188,5
0.21593,-0.677687,1
0.359867,-5.092313,5
0.137434,-0.297875,1
0.314104,-5.356312,5
0.37716,-5.535812,5
0.19616,-0.874938,1
0.386082,-5.83775,5
0.177643,-3.615625,5
0.235945,-4.283437,5
0.107367,-0.22725,1
0.12209,-0.313937,1
0.093611,-0.458625,1
0.143857,-0.716375,1
0.157541,-0.306688,1
0.191934,-1.929375,1
0.232979,-3.466813,5
0.11692,-0.520687,1
0.339861,-5.56675,5
0.343705,-6.613313,5
0.289775,-5.54325,5
0.165318,-0.9685,1
0.185457,-3.285062,5
0.195102,-0.556312,1
0.177506,-0.406875,1
0.266049,-5.25375,5
0.141191,-0.419438,1
0.147553,-0.888,1
0.129934,-1.412313,1
0.114721,-0.714938,1
0.312895,-4.549,5
0.117715,-0.616875,1
0.208465,-0.99375,1
0.094764,-0.387625,1
0.103037,-0.836812,1
0.095127,-1.075937,1
0.091969,-0.314188,1
0.151254,-0.55175,1
0.247908,-4.105062,5
0.177104,-0.527062,1
0.135301,-0.444875,1
0.134721,-0.775875,1
0.203691,-1.43725,1
0.117168,-0.513625,1
0.271693,-5.148125,5
0.134242,-0.500062,1
0.141602,-0.598938,1
0.244793,-1.219437,1
0.2081,-0.483625,1
0.209145,-0.481812,1
0.4019,-4.006188,5
0.415193,-4.189625,5
0.320148,-4.688375,5
0.187645,-3.587438,5
0.101482,-0.4575,1
0.09159,-0.561438,1
0.116701,-0.622625,1
0.127123,-0.691438,1
0.300725,-5.297313,5
0.246574,-5.283375,5
0.130014,-0.53625,1
0.192039,-0.745625,1
0.135715,-1.055313,1
0.204793,-4.526937,5
0.083164,-0.5235,1
0.316094,-4.556375,5
0.16033,-0.694875,1
0.160832,-0.851938,1
0.139072,-0.529875,1
0.236674,-3.728063,5
0.189557,-0.838313,1
0.103754,-0.212,1
0.201656,-0.882687,1
0.165342,-1.166875,1
0.147797,-0.920438,1
0.271313,-4.044313,5
0.380893,-4.979063,5
0.139037,-0.868563,1
0.126268,-0.246375,1
0.186219,-1.083937,1
0.181965,-0.68075,1
0.219119,-0.590625,1
0.164937,-0.479938,1
0.378029,-5.445875,5
0.148723,-0.407125,1
0.160465,-0.79175,1
0.221469,-4.413,5
0.229379,-0.679375,1
0.155633,-3.469125,5
0.184676,-2.040125,1
0.391916,-5.2935,5
0.166275,-0.592437,1
0.377209,-5.546563,5
0.283877,-4.870687,5
0.284875,-5.496625,5
0.124967,-0.989125,1
0.1566,-3.070875,5
0.092254,-1.298687,1
0.144178,-0.458875,1
0.33624,-6.860125,5
0.161643,-0.368312,1
0.162635,-0.357312,1
0.244941,-4.114438,5
0.275187,-4.605562,5
0.257389,-4.4885,5
0.092449,-1.347938,1
0.267391,-5.071813,5
0.31599,-4.90325,5
0.155598,-0.45925,1
0.283148,-4.734,5
0.31409,-5.223937,5
0.191828,-1.367188,1
0.348102,-5.091938,5
0.221137,-3.890938,5
0.242693,-4.49325,5
0.112621,-0.827688,1
0.3914,-5.298563,5
0.183502,-2.192312,1
0.207619,-1.452937,1
0.137592,-0.390188,1
0.401232,-5.455563,5
0.331547,-4.836313,5
0.35174,-4.682875,5
0.219656,-4.056438,5
0.309156,-4.5255,5
0.37859,-6.086812,5
0.250164,-5.028937,5
0.210811,-3.784438,5
0.117488,-0.4265,1
0.156633,-3.299937,5
0.115699,-0.68975,1
0.285957,-5.377562,5
0.135303,-0.431188,1
0.098895,-0.369063,1
0.162943,-0.344,1
0.217904,-4.731312,5
0.195266,-3.679375,5
0.104102,-0.166187,1
0.256055,-4.37625,5
0.35901,-5.2805,5
0.333172,-4.68725,5
0.367646,-5.150313,5
0.175266,-0.863125,1
0.130309,-0.74725,1
0.138047,-0.4255,1
0.165979,-0.810562,1
0.102484,-0.765437,1
0.232029,-1.118875,1
0.226447,-1.011625,1
0.227889,-3.760438,5
0.181295,-0.608375,1
0.146318,-0.433812,1
0.169988,-1.135563,1
0.133883,-0.929875,1
0.126107,-0.953125,1
0.249939,-5.537312,5
0.183334,-3.381,5
0.116439,-0.48,1
0.190734,-4.407312,5
0.366613,-6.022,5
0.213234,-0.878375,1
0.163041,-0.649687,1
0.29732,-4.539187,5
0.141494,-0.619625,1
0.1319,-0.535,1
0.3696,-5.962313,5
0.344383,-4.893,5
0.204064,-1.270563,1
0.1716,-0.75375,1
0.244904,-4.355937,5
0.393984,-5.702063,5
0.131127,-0.686813,1
0.147143,-0.463438,1
0.335891,-4.523688,5
0.202805,-1.346875,1
0.125246,-0.281875,1
0.201439,-0.727875,1
0.129555,-1.123563,1
0.090236,-0.597437,1
0.141891,-0.646437,1
0.150529,-1.282312,1
0.161641,-0.879,1
0.358895,-4.495188,5
0.21767,-0.907375,1
0.252848,-1.558688,1
0.120361,-1.40125,1
0.173729,-0.384188,1
0.306514,-4.627063,5
0.273129,-4.099812,5
0.131166,-0.756125,1
0.285898,-4.487813,5
0.171254,-3.140188,5
0.372865,-4.83775,5
0.119629,-0.480563,1
0.159008,-0.561312,1
0.230957,-0.5875,1
0.260359,-1.318125,1
0.19901,-1.120437,1
0.142355,-0.543937,1
0.265336,-4.871,5
0.246246,-5.011375,5
0.26099,-5.027812,5
0.273234,-4.415438,5
0.21907,-3.182313,5
0.323719,-4.4525,5
0.197033,-1.14525,1
0.116396,-1.314625,1
0.09473,-0.640625,1
0.201863,-1.270938,1
0.139984,-0.4235,1
0.143805,-0.87225,1
0.104846,-0.404,1
0.101656,-0.324625,1
0.222799,-4.62925,5
0.163057,-0.815063,1
0.2826,-4.61725,5
0.212824,-4.698,5
0.077264,-1.0995,1
0.298686,-5.44775,5
0.173055,-1.503313,1
0.31258,-5.577875,5
0.14127,-0.595187,1
0.135721,-0.469438,1
0.081717,-0.568063,1
0.08966,-0.3435,1
0.235445,-5.3535,5
0.267764,-4.018562,5
0.140043,-0.4045,1
0.290391,-4.55775,5
0.110889,-0.546063,1
0.180559,-0.52275,1
0.122008,-0.449188,1
0.117412,-0.589875,1
0.113748,-0.61875,1
0.311238,-5.179625,5
0.109094,-1.11075,1
0.112281,-0.635,1
0.307766,-5.993188,5
0.15175,-2.97025,5
0.330396,-5.4395,5
0.150363,-0.510563,1
0.159424,-1.058812,1
0.351748,-4.259375,5
0.075422,-0.745375,1
0.28732,-5.3385,5
0.123334,-0.831438,1
0.276092,-4.324,5
0.3999,-5.528187,5
0.176191,-1.071875,1
0.117416,-0.730812,1
0.214643,-4.624437,5
0.156266,-1.477,1
0.242141,-4.503813,5
0.12882,-0.76225,1
0.135197,-0.394688,1
0.435916,-5.860375,5
0.299871,-4.488562,5
0.133605,-0.493437,1
0.359184,-5.193688,5
0.303844,-4.66825,5
0.12142,-0.191312,1
0.37999,-5.022125,5
0.260129,-0.84825,1
0.21193,-0.636062,1
0.18277,-0.629188,1
0.343434,-4.500875,5
0.355701,-4.876313,5
